2020-07-26 18:25:11.504 === [restartedMain] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-07-26 18:25:11.523 === [restartedMain] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring embedded WebApplicationContext
2020-07-26 18:25:11.523 === [restartedMain] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext === Root WebApplicationContext: initialization completed in 232 ms
2020-07-26 18:25:11.568 === [restartedMain] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Initializing ExecutorService 'applicationTaskExecutor'
2020-07-26 18:25:11.581 === [restartedMain] === INFO  === o.s.b.a.web.servlet.WelcomePageHandlerMapping === Adding welcome page template: index
2020-07-26 18:25:11.669 === [restartedMain] === INFO  === o.s.b.d.autoconfigure.OptionalLiveReloadServer === LiveReload server is running on port 35729
2020-07-26 18:25:11.683 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat started on port(s): 80 (http) with context path ''
2020-07-26 18:25:11.686 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Started BlogApplication in 0.421 seconds (JVM running for 308.179)
2020-07-26 18:25:11.689 === [restartedMain] === INFO  === o.s.b.d.a.ConditionEvaluationDeltaLoggingListener === Condition evaluation unchanged
2020-07-26 18:31:49.082 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Starting BlogApplication on DESKTOP-CNOGRH7 with PID 10556 (E:\Idea_WorkSpace\aimerrhythms_blog\blog\target\classes started by aimerrhythm in E:\Idea_WorkSpace\aimerrhythms_blog)
2020-07-26 18:31:49.083 === [restartedMain] === DEBUG === com.aimerrhythms.blog.BlogApplication === Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
2020-07-26 18:31:49.084 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === No active profile set, falling back to default profiles: default
2020-07-26 18:31:49.130 === [restartedMain] === INFO  === o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor === Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-07-26 18:31:49.131 === [restartedMain] === INFO  === o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor === For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-07-26 18:31:49.866 === [restartedMain] === WARN  === org.mybatis.spring.mapper.ClassPathMapperScanner === No MyBatis mapper was found in '[com.aimerrhythms.blog]' package. Please check your configuration.
2020-07-26 18:31:50.209 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat initialized with port(s): 80 (http)
2020-07-26 18:31:50.217 === [restartedMain] === INFO  === org.apache.catalina.core.StandardService === Starting service [Tomcat]
2020-07-26 18:31:50.218 === [restartedMain] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-07-26 18:31:50.305 === [restartedMain] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring embedded WebApplicationContext
2020-07-26 18:31:50.305 === [restartedMain] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext === Root WebApplicationContext: initialization completed in 1174 ms
2020-07-26 18:31:50.495 === [restartedMain] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Initializing ExecutorService 'applicationTaskExecutor'
2020-07-26 18:31:50.564 === [restartedMain] === INFO  === o.s.b.a.web.servlet.WelcomePageHandlerMapping === Adding welcome page template: index
